# x,y,<bush>,<cookie>,<shadow>,<visibility>
1807,1143,0,0,1,0
1807,1143,0,0,1,0
1808,1143,0,0,1,0
1807,1143,0,0,1,0
1808,1143,0,0,1,0
1807,1143,0,0,1,0
1807,1143,0,0,1,0
1807,1143,0,0,1,0
1807,1143,0,0,1,0
1806,1143,0,0,1,0
1806,1143,0,0,1,0
1807,1143,0,0,1,0
1806,1143,0,0,1,0
1806,1143,0,0,1,0
1806,1143,0,0,1,0
1806,1143,0,0,1,0
1806,1143,0,0,1,0
1806,1142,0,0,0,0
1806,1143,0,0,0,0
1806,1143,0,0,0,0
1806,1143,0,0,0,0
1806,1143,0,0,0,0
1806,1143,0,0,0,0
1806,1142,0,0,0,0
1806,1142,0,0,0,0
1806,1142,0,0,0,0
1806,1142,0,0,0,0
1806,1142,0,0,0,0
1806,1143,0,0,0,0
1806,1142,0,0,0,0
1805,1143,0,0,0,0
1805,1143,0,0,0,0
1805,1143,0,0,0,0
1805,1143,0,0,0,0
1805,1143,0,0,0,0
1805,1142,0,0,0,0
1806,1142,0,0,0,0
1806,1142,0,0,0,0
1806,1142,0,0,0,0
1806,1142,0,0,0,0
1806,1143,0,0,0,0
1805,1142,0,0,0,0
1806,1142,0,0,0,0
1806,1143,0,0,0,0
1806,1142,0,0,0,0
1806,1143,0,0,0,0
1806,1142,0,0,0,0
1806,1142,0,0,0,0
1806,1142,0,0,0,0
1805,1142,0,0,0,0
1806,1142,0,0,0,0
1805,1142,0,0,0,0
1805,1142,0,0,0,0
1806,1142,0,0,0,0
1806,1142,0,0,0,0
1806,1142,0,0,0,0
1806,1141,0,0,0,0
1806,1142,0,0,0,0
1806,1142,0,0,0,0
1806,1141,0,0,0,0
1806,1142,0,0,0,0
1806,1141,0,0,0,0
1806,1141,0,0,0,0
1805,1141,0,0,0,0
1806,1142,0,0,0,0
1805,1142,0,0,0,0
1805,1141,0,0,0,0
1805,1142,0,0,0,0
1805,1142,0,0,0,0
1805,1142,0,0,0,0
1805,1142,0,0,0,0
1805,1142,0,0,0,0
1806,1142,0,0,0,0
1806,1142,0,0,0,0
